Incident Report Number,Crime Type,Date,Time,LOCATION_TYPE,ADDRESS,LONGITUDE,LATITUDE,State,Country,Continent
20162251755,FRAUD - OTHER,8/12/2016,1700,,BARTON SPRINGS RD / S LAMAR BLVD,-97.7585309,30.26085944,Texas,United States of America,North America
2016930960,CRASH/FAIL STOP AND RENDER AID,4/2/2016,1417,,W MARTIN LUTHER KING JR BLVD / GUADALUPE ST,-97.74192973,30.28172985,Texas,United States of America,North America
20166900039,DEL CONTROLLED SUB/NARCOTIC,3/23/2016,1910,,E 8TH ST / NECHES ST,-97.73756952,30.26863799,Texas,United States of America,North America
2016761699,ASSAULT WITH INJURY,3/16/2016,1955,,S IH 35 SVRD NB / E OLTORF ST,-97.74043405,30.23359347,Texas,United States of America,North America
20161901446,ASSAULT BY CONTACT,7/8/2016,1928,,N LAMAR BLVD / W PARMER LN,-97.67822767,30.40784843,Texas,United States of America,North America
20162090057,THEFT,7/27/2016,309,,E 6TH ST / TRINITY ST,-97.73934174,30.26706768,Texas,United States of America,North America
2016941312,AGG ASSAULT,4/3/2016,1652,,E BRAKER LN / JOSEPH CLAYTON DR,-97.67399625,30.37615879,Texas,United States of America,North America
20161451500,ASSAULT BY CONTACT,5/24/2016,1902,,MANOR RD / LOYOLA LN,-97.66715751,30.31005968,Texas,United States of America,North America
2016320873,ANIMAL BITE,2/1/2016,1421,,LAMPLIGHT VILLAGE AVE / RODEO DR,-97.68959506,30.42701405,Texas,United States of America,North America
20165011452,THEFT INFORMATION,3/17/2016,2300,,E 6TH ST / TRINITY ST,-97.73934174,30.26706768,Texas,United States of America,North America
20165006639,THEFT,2/15/2016,1915,,E 4TH ST / CONGRESS AVE,-97.74350283,30.26620849,Texas,United States of America,North America
2016770844,THEFT,3/17/2016,1150,,E 7TH ST / NECHES ST,-97.73792429,30.26769906,Texas,United States of America,North America
